state,fip,Enactment,Enactment funding contingent,Enactment electronic,Modern system operational, Prescriber must-query
Alabama,01,11-2005,08-2004,,04-2006,03-2017
Alaska,02,09-2008,,,01-2012,06-2018
Arizona,04,09-2007,,,12-2008,10-2017
Arkansas,05,03-2013,07-2011,,05-2013,08-2017
California,06,Pre-1990,,01-2005,09-2009,10-2018
Colorado,08,06-2005,,,02-2008
Connecticut,09,10-2006,,,07-2008,10-2015
Delaware,10,09-2011,07-2010,,08-2012,
District of Columbia,11,02-2014,,,10-2016,
Florida,12,12-2010,,,10-2011,07-2018,
Georgia,13,07-2011,07-2011,,05-2013,07-2018
Hawaii,15,Pre-1990,,12-1996,02-2012,07-2018
Idaho,16,Pre-1990,,04-2000,04-2008,
Illinois,17,Pre-1990,,04-2000,12-2009,01-2018
Indiana,18,Pre-1990,,07-2007,07-2007,
Iowa,19,05-2006,05-2006,,03-2009,07-2018
Kansas,20,07-2008,,,04-2011,
Kentucky,21,07-1998,,,07-1999,07-2012
Louisiana,22,07-2006,,,01-2009,08-2014
Maine,23,01-2004,01-2004,,01-2005,01-2017
Maryland,24,10-2011,10-2011,,12-2013,07-2018
Massachusetts,25,12-1992,,02-2013,01-2011,12-2014
Michigan,26,Pre-1990,,01-2002,01-2003,06-2018
Minnesota,27,01-2009,07-2007,,04-2010,
Mississippi,28,06-2006,,,07-2008,
Missouri,29,07-2017,,,,
Montana,30,07-2011,,,10-2012,
Nebraska,31,08-2011,,,01-2017,
Nevada,32,01-1996,,,02-2011,10-2015
New Hampshire,33,06-2012,,,10-2014,05-2016
New Jersey,34,08-2009,,,01-2012,11-2015
New Mexico,35,07-2004,,,08-2005,02-2013
New York,36,Pre-1990,,10-2006,06-2013,08-2013
North Carolina,37,01-2006,,,07-2007,06-2017
North Dakota,38,12-2006,04-2005,,10-2008,01-2018
Ohio,39,05-2005,,,10-2006,04-2015
Oklahoma,40,01-1991,,,07-2006,11-2015
Oregon,41,07-2009,,,09-2011,
Pennsylvania,42,Pre-1990,,06-2015,08-2016,06-2015
Rhode Island,44,Pre-1990,,08-1995,09-2012,06-2016
South Carolina,45,06-2006,,,02-2008,05-2017
South Dakota,46,03-2010,,,03-2012,
Tennessee,47,01-2003,,,01-2010,04-2013
Texas,48,08-1981,,09-1999,08-2012,09-2019
Utah,49,07-1995,,,01-2006,05-2018
Vermont,50,06-2008,05-2006,,01-2009,11-2013
Virginia,51,09-2003,,,06-2006,07-2015
Washington,53,08-2011,07-2007,,01-2012,
West Virginia,54,05-1996,,09-2002,05-2013,06-2012
Wisconsin,55,06-2010,,,06-2013,04-2017
Wyoming,56,07-2003,,,07-2013,